,Location,ZIP
624,"(41.65912609999999, -87.60969659999999)",60628
625,"(41.6705466, -87.62318929999999)",60628
626,"(41.9762899, -87.7366662)",60630
627,"(41.7816454, -87.6756705)",60636
628,"(41.966724, -87.66300100000001)",60640
629,"(41.9480946, -87.6973069)",60618
630,"(41.9052359, -87.6271677)",60610
631,"(41.9757851, -87.6582002)",60640
632,"(41.9303398, -87.7560436)",60639
633,"(41.8407426, -87.72709610000001)",60623
634,"(41.8134222, -87.6432306)",60609
635,"(41.8495905, -87.625416)",60616
636,"(41.901576, -87.7148699)",60651
637,"(41.7556929, -87.6012188)",60619
638,"(41.978035, -87.83906089999999)",60656
639,"(41.8791604, -87.6882174)",60612
640,"(41.9370397, -87.7051199)",60618
641,"(41.7074349, -87.66044509999999)",60643
642,"(41.9490944, -87.75741289999999)",60641
643,"(41.9531958, -87.6507632)",60613
